X,Y,Z
341.2292,54.3576,0.0000
339.1977,54.4014,0.0000
337.1661,54.4451,0.0000
335.1346,54.4889,0.0000
333.1030,54.5327,0.0000
331.0715,54.5764,0.0000
329.0399,54.6202,0.0000
327.0084,54.6639,0.0000
325.5497,54.1175,0.0000
323.5182,54.1630,0.0000
321.4867,54.2085,0.0000
319.4552,54.2540,0.0000
317.4237,54.2995,0.0000
315.3922,54.3451,0.0000
313.3607,54.3906,0.0000
311.3292,54.4361,0.0000
309.2976,54.4816,0.0000
307.2661,54.5271,0.0000
305.2346,54.5726,0.0000
303.2031,54.6181,0.0000
301.1716,54.6637,0.0000
299.1401,54.7092,0.0000
297.3843,54.4718,0.0000
295.3528,54.5182,0.0000
293.3213,54.5645,0.0000
291.2898,54.6109,0.0000
289.2583,54.6573,0.0000
287.2268,54.7037,0.0000
285.1953,54.7501,0.0000
283.1638,54.7965,0.0000
281.1324,54.8429,0.0000
279.1009,54.8893,0.0000
277.0694,54.9357,0.0000
275.0379,54.9821,0.0000
273.0064,55.0284,0.0000
270.9749,55.0748,0.0000
268.9435,55.1212,0.0000
266.9120,55.1676,0.0000
265.1445,54.9452,0.0000
263.1131,54.9924,0.0000
261.0816,55.0397,0.0000
259.0501,55.0870,0.0000
257.0187,55.1342,0.0000
254.9873,55.1815,0.0000
252.9558,55.2288,0.0000
250.9243,55.2760,0.0000
248.8929,55.3233,0.0000
246.8614,55.3706,0.0000
244.8299,55.4178,0.0000
242.7984,55.4651,0.0000
240.7669,55.5124,0.0000
238.9896,55.3022,0.0000
236.9582,55.3503,0.0000
234.9267,55.3985,0.0000
232.8952,55.4466,0.0000
230.8638,55.4948,0.0000
228.8323,55.5429,0.0000
226.8009,55.5910,0.0000
225.0184,55.3878,0.0000
222.9870,55.4368,0.0000
220.9555,55.4859,0.0000
218.9241,55.5349,0.0000
216.8927,55.5839,0.0000
